id,type,title,description,interpretation,link,status,published_at,created_at,updated_at,display_date,centres,classes,children,medias,tags
285327,post,Welcome Note 2025,"Dear Parents

I'm Miss Irene (English Teacher) and I will be working with Lanlan Laoshi and  Xue Laoshi (Chinese Teachers) in scaffolding your children in Kindergarten 2 class in 2025.

It is our pleasure to be working with you again as partners in your child's education as their teachers. We are excited to guide your child's learning journey through discovery and fun. 

If you have any concerns or questions, please feel free to approach us via , ailing.zheng@littleskoolhouse.com, lan.zhang@littleskoolhouse.com, yage.xue@littleskoolhouse.com or you may call us at 6566 5110.

Vision: We nurture and support each child to fulfil his or her potential

Mission: We partner families to fulfil the promise of each child, by enabling every child to have a good start in life. We give working families a peace of mind, by making quality child development and care services accessible.

Core Values: Integrity, nurturing, Service, Passion, Innovation, Relationships, Excellence",,,published,2025-01-06 10:07:39,2024-11-25 11:27:36,2025-01-06 10:07:38,NULL,"{""id"": 1, ""code"": ""DNI00""}","[{""id"": 1301, ""label"": ""2025 K2 Debi Gliori""}]",NULL,[],[]
288683,album,Weekly Highlight: Transition Week 5 (New Year Craft),-,,,published,2025-01-03 05:05:53,2025-01-01 01:16:23,2025-01-03 05:05:53,NULL,"{""id"": 20, ""code"": ""TMJ""}","[{""id"": 1403, ""label"": ""2025 N2 Florence""}]",NULL,[],[]
288684,post,2025 Show-and-Tell Schedule 分享与展示时间表,"Dear parents,

We are pleased to share the Show-and-Tell schedule for the year! Sessions will take place every Wednesday and Thursday.

To make the experience more engaging, sharings will alternate between English and Chinese. As the children are now in Kindergarten 2, we hope to see them grow more confident in expressing themselves. This year, we will continue to explore various topics and formats to encourage their creativity and communication skills.

Each child will have 5 minutes for their sharing, followed by a question-and-answer session to further develop their interaction and critical thinking abilities.

Thank you for your support as we nurture their growth and confidence!

Warmest Regards,
K2 Elgar Teachers",,,published,2025-01-01 02:36:08,2025-01-01 02:36:07,2025-01-03 13:13:25,NULL,"{""id"": 10, ""code"": ""DTE01""}","[{""id"": 1316, ""label"": ""2025 Kindergarten 2 Elgar""}]",NULL,[],[]
288685,post,2025 Outdoors Schedule,"Dear parents,

For easier reference, these are the venues we will be visiting during our daily outdoor sessions and activities at Pasir Ris Park. You can also find this file under 'Resources' for your convenience.

For trips to the Residents' Network Garden and Pasir Ris Park, please ensure your child is dressed appropriately. Additionally, we kindly request you to prepare and pack your child’s outdoor bag with the following items:

• Gardening gloves
• Disposable gloves
• Tongs
• Raincoat
• Hat
• Water bottle with a strap

If necessary, please apply mosquito repellent or paste a mosquito patch on your child's clothes before coming to school.

Stay tuned to this portal for updates as we share the children's exciting outdoor explorations!

Warmest Regards,
K1 Elgar Teachers",,,published,2025-01-01 02:50:54,2025-01-01 02:50:53,2025-01-01 02:50:53,NULL,"{""id"": 10, ""code"": ""DTE01""}","[{""id"": 1316, ""label"": ""2025 Kindergarten 2 Elgar""}]",NULL,[],[]
288686,post,K2 Friends!,Here are the friends in the class as well as the groupings!,,,published,2025-01-01 03:26:53,2025-01-01 03:26:51,2025-01-01 03:26:53,NULL,"{""id"": 10, ""code"": ""DTE01""}","[{""id"": 1316, ""label"": ""2025 Kindergarten 2 Elgar""}]",NULL,[],[]
288687,album,My goal for 2025 ,"At the beginning of class, the children talked about their strength and something that they wanted to work on in 2025 as a class. Subsequently, they were involved in making a New Year rocket craft. They used coloured markers to draw a rocket and watercolours to paint it. Then, they added their handprint to represent the fire of the rocket. They cut them out and pasted them on a black paper to create a contrast of colours between their drawing and the background. At last, they copywrote their goal for the new year with Ms Ariel's assistance. 

Wishing all families Happy New Year and a wonderful year ahead! ☺ ",,,published,2025-01-01 03:48:06,2025-01-01 03:41:11,2025-01-02 11:36:56,NULL,"{""id"": 18, ""code"": ""OMB01""}","[{""id"": 1287, ""label"": ""2025 K1 Jo Empson""}]",NULL,[],[]
288708,post,Class Groupings in K1 Darwin 2025,"Dear parents, 
We have made revisions to our class groupings, which have been renamed to 
'Orchid' and 'Daisy'.

Please refer to the attached image for your child's updated group name.
Thank you!

Warmest regards, 
K1 Darwin Teachers",,,published,2025-01-01 23:20:44,2025-01-01 23:20:43,2025-02-27 23:48:35,NULL,"{""id"": 10, ""code"": ""DTE01""}","[{""id"": 1315, ""label"": ""2025 Kindergarten 1 Darwin""}]",NULL,[],[]
288709,post,Term 1 Home Task ,"Dear parents, 

We kindly ask you to share photos of your child's growth at your earliest convenience. Term 1 begins on 6 January and your assistance with the photos will be greatly appreciated. 

Thank you!

Regards, 
Debra ",,,published,2025-01-02 00:51:26,2025-01-02 00:51:25,2025-01-16 00:38:33,NULL,"{""id"": 5, ""code"": ""DTH01""}","[{""id"": 1407, ""label"": ""2025 Nursery 2 Reflectors""}]",NULL,[],[]
288710,album,《送西瓜籽回家》,"老师提前准备好西瓜模具和裁剪好的棉棒，投放在课室的区角里。邀请幼儿一起玩游戏，讲解游戏规则。幼儿将教具中的棉棒取出后，再找到西瓜摸具中洞洞的位置插放回去的过程中，锻炼了幼儿手部精细动作和手眼协调能力。
",,,draft,2025-01-02 04:17:37,2025-01-02 04:17:34,2025-01-02 04:31:08,NULL,"{""id"": 1, ""code"": ""DNI00""}","[{""id"": 1295, ""label"": ""2025 PG Rod Campbell""}]",NULL,[],[]
288713,post,Welcome Note,"Dear Parents,

We are Ms Jesslyn, Ms Priscilla, and Zhang Lao Shi, and we will be working closely with one another in scaffolding your children in Playgroup class. It is our pleasure to be working with you as partners in your child's education as their teachers. We are excited to guide your child's learning journey through discovery and fun. 

If you have any concerns or questions, please feel free to approach us via email:

Ms Jesslyn: jielin-pek@littleskoolhouse.com 
Ms Priscilla: priscilla-w1@littleskoolhouse.com
Zhang laoshi: jun.zhang@littleskoolhouse.com

Alternatively, you may call us at 6566 5110 or communicate with us via the parent interaction function in the school app.

Vision: We nurture and support each child to fulfil his or her potential
Mission: Bright future for every child and their family
Values: We Are People First. We believe Bright Future is possible by being optimistic, encouraging and positive. We embrace Dynamism to stay relevant and ahead.",,,published,2025-01-02 04:35:21,2025-01-02 04:35:21,2025-01-02 04:35:21,NULL,"{""id"": 1, ""code"": ""DNI00""}","[{""id"": 1295, ""label"": ""2025 PG Rod Campbell""}]",NULL,[],[]
